smiles,pka
NCc1ccccc1F,8.81
Cc1ccccc1CN,9.31
Cn1cncc1CCN,9.75
CCCCCC(O)CN,9.59
NCCc1ccccc1,9.79
NCCC1CCCCC1,10.2
COC1CN=CNC1,9.61
CCCc1ccccn1,5.6
CCCC1CCCCN1,10.58
CNc1ccccc1O,5.17
CNCCCNCCCNC,10.6
NC1CCONC1=O,8.81
O=C1CCNCN1O,6.35
NCCCCC(=O)O,10.21
NCCc1ccccn1,9.6
NCCCCNCCCCN,10.94
CCNCCCNCCCN,10.55
C[C@H](N)CS,10.53
NCP(=O)(O)O,9.94
Cc1nsc(N)n1,2.81
CCCCSC(=N)N,10.59
C=CCSC(=N)N,10.54
C#CCNCCCCNC,10.57
C=CCNCCCCNC,10.64
Fc1ncc[nH]1,2.68
Nc1ncc[nH]1,9.33
Cc1ncc[nH]1,7.52
CN(CCN)CCCN,10.02
NC1=NCCSCC1,11.36
NC1=NCCOCC1,10.65
NC1=NCCCCC1,11.8
NCCCCCNCCCN,10.68
CNc1nccnc1C,2.18
CCCCn1ccnc1,6.54
CCN1CC=CCC1,9.57
CCNCCCCCCCN,10.76
CCCCCCCCCCN,10.21
CC/N=C(/N)S,15.0
OCCN1CCCCC1,9.46
ON=C1CCCCC1,3.26
CCCCCNCCC#N,8.2
CNCc1cccnc1,8.93
NCc1ccccc1O,10.18
Cc1cn[nH]c1,2.63
NCC=C1SCCS1,9.6
CCN(CCO)N=O,3.23
O=NN1CCNCC1,8.96
CN(CC#N)N=O,2.92
CNCc1ccccc1,9.41
CN(C)CCSC#N,7.59
Nc1ncncc1Br,3.89
NC1=NCCNCC1,11.19
NC1=NCCCOC1,10.31
NC1=NCCCSC1,10.44
Cn1cncc1C=O,5.02
Nc1nnc(S)s1,0.21
NCCc1nonc1O,8.97
NCCN1CCNCC1,9.61
NCCN1CCOCC1,9.37
Nc1ccccc1Cl,2.79
Nc1nc[nH]n1,2.51
C#Cc1cccnc1,4.22
NCCNCCN1CC1,9.78
CSSc1ccccn1,2.54
C1NC2CNC1N2,6.97
CP(=O)(O)CN,9.63
Cc1csc(N)n1,4.96
Cc1cnc(N)s1,5.61
NOCc1ccccc1,4.02
CCNc1ccccc1,4.91
NCCCCCCCCCN,10.51
C#CCNC(=N)N,11.86
NC1CCCCCCC1,10.45
C=CCCCN(C)C,9.86
NCc1ccncc1N,8.65
Cc1ncsc1CCN,9.53
O=C(O)CNCCS,10.53
CCCSCCNCCCN,10.14
CCCCSCCNCCN,9.78
NCCNCCCNCCN,9.98
C[C@H](N)CO,9.79
Cc1c[nH]cn1,6.83
NNCc1ccccc1,5.24
CCCCCNCCCCC,10.75
Nc1ccccc1CO,3.55
Cc1ncsc1CCO,3.12
NCCc1cccnc1,9.7
CCCCC(CC)CN,10.22
CN(C)CCNCCN,9.8
OCc1ncccc1O,4.88
N=C(N)SCCCN,10.67
ONCc1ccccc1,3.99
CC(C)CC(C)N,10.42
CC(C)NC(C)C,10.72
C=C(C)CNCCN,9.73
Nc1ccncc1Cl,7.22
COc1ccccc1N,4.42
ClCc1ccccn1,4.14
NC(=O)C(N)O,7.39
O=C(O)CCCNO,5.17
CCNc1ncccn1,3.43
C1CNCCNCCN1,10.05
OCCC1CCNCC1,10.36
CN(C)CCSCCO,8.96
OCCN1CCOCC1,7.19
COc1cccnc1O,2.26
CNCc1sccc1C,9.44
CNCC(CS)CNC,10.75
Cc1nnc[nH]1,3.08
CCCNC(=N)CF,8.35
NCCNCC(O)CO,9.54
COCC1OCCN1C,5.83
C=CC1=CSNN1,3.83
