smiles,pka
O=C(O)C1C=CCN1,1.76
O=C(O)C1=CCNC1,3.4
O/N=C/c1ccccn1,9.02
CCc1nccc(O)c1O,9.28
O=c1cc[nH]cc1O,11.84
Oc1noc2c1CCNC2,7.06
NCCCOP(=O)(O)O,1.77
C=C1CC1CC(=O)O,4.66
O=C1CCC(O)=C1O,7.71
O=C1COC(O)=C1O,4.9
Oc1nc2ncccc2o1,7.67
N[C@H](CS)CCCS,9.44
O=Nc1ccc(O)cc1,8.36
NC(=O)c1cccnc1,13.39
CC(C)(C)C(=O)O,4.93
Oc1nc(S)ncc1Br,8.16
CCCCCCCCC(=O)O,5.23
NCCCN/C(N)=N/O,13.69
CC(C)c1ccccc1S,6.83
CN1CCC(=NO)CC1,11.67
Sc1nc2ccccc2s1,7.46
Sc1nc2ccccc2o1,7.2
NCCCP(=O)(O)CO,1.37
CCP(=O)(O)CCCN,1.93
NCCCP(=O)(O)CN,-0.01
O=C(O)C1=CCCC1,4.54
NC(=O)C(F)(F)F,7.01
O=CN(O)CC(=O)O,3.28
CSCCc1nn[nH]n1,5.83
CCN(CC)C(=O)NO,10.06
NNC(=O)c1cscn1,12.26
NNC(=O)c1ccco1,10.85
NNC(=O)c1cncs1,10.62
O=C1CNC(=O)CN1,10.89
O=C(O)c1ccncc1,3.73
NC1(C(=O)O)CC1,2.2
O/N=C/c1ccccc1,7.79
CCCC/C(CC)=N\O,11.46
CCCCC/C(C)=N\O,11.67
NCCC(CN)C(=O)O,4.11
NC(CS)CCC(=O)O,4.46
NC(CCNO)C(=O)O,2.19
NCCc1cccc(O)c1,10.27
NCCCS(=O)(=O)O,-0.99
S=C1CCCC(=S)N1,11.74
NCCOS(=O)(=O)O,-1.98
O=C1CCCC(=S)N1,10
Oc1noc2c1CNCC2,5.2
CCCOS(N)(=O)=O,11.66
C=C1CNCC(O)C1O,13.36
COC1CNCC(O)C1O,13.06
Cc1cn(C)c(O)n1,12.91
CC1NC(=O)NC1=O,8.94
Sc1ccnc2ccnn12,5.44
COC1CCC(OO)CO1,11.72
O=C(O)CC1CCNC1,4.41
NNCc1cccc(O)c1,9.41
NC(CF)CCC(=O)O,4.29
C=Cc1ccc(O)cc1,9.56
Oc1cccc2ccoc12,8.01
Oc1ccc2occc2c1,9.46
Oc1ccc2ccoc2c1,9.12
CSCC(=O)/C=N/O,7.88
CN(CC(=O)O)N=O,3.71
Oc1nsc2c1CCNC2,2.3
Oc1nsc2c1CNCC2,1.73
CCC(CO)CC(=O)O,4.71
CCNC(CS)C(=O)O,2.11
Cn1cncc1/C=N/O,10.51
NCCOCCOCC(=O)O,3.73
NCCCCCCCC(=O)O,4.83
Cc1cc(Cl)ccc1O,9.33
O=C1NCNC(=O)N1,6.46
[N-]=[N+]=[N-],5.09
CCCC(N)C(=O)NO,8.91
NN1C(=O)CSC1=S,13.42
O=C1C=CC(=O)N1,10.04
Cc1cc(Br)ccc1O,9.46
CCOc1ccc(O)cc1,9.93
O=Cc1cccc(O)c1,8.94
O=C(NO)c1cccs1,8.46
O=C(NO)c1ccsc1,8.86
O=C(O)c1cccnn1,0.35
O=C(O)c1ccnnc1,3.67
O=C(O)c1cncnc1,3.8
Nc1cc(Cl)ccc1O,9.76
O=C1CCC(=O)N1O,7.19
O/N=C\c1ccccc1,7.79
O/N=C1/C=CCCC1,11.93
CN[N+](=O)[O-],10.14
NC(=O)c1ccncc1,13.71
COc1c(O)cccc1O,9.78
N[C@H]1CONC1=O,4.21
C=CC1CNC(=S)O1,8.64
O=c1[nH]cncc1F,7.11
Oc1ccc(S)cc1Cl,5.23
OCc1cc(O)ccc1O,9.72
CC/C=N\NC(N)=S,11.78
CC(C)=NNC(N)=S,11.75
Oc1noc2ccccc12,5.86
CCOc1cccc(O)c1,9.49
CCCc1cccc(O)c1,10.11
COc1cc(O)ccc1O,9.84
O=C(NO)C(=O)NO,7.88
SC1Nc2ccccc2S1,8.88
NC1Nc2ccccc2S1,12.54
SC1Nc2ccccc2N1,8.8
OC1Nc2ccccc2S1,10.46
OC1Nc2ccccc2N1,10.97
NC(CS)c1ccccc1,10.13
O=C(O)C1CCC=N1,1.82
CCCC(=O)C(=O)O,3.38
NCCNC(=O)C(F)F,8.37
NC1=NC(=O)CNN1,10.75
N=C(N)SCC(=O)O,3.49
CCCC(N)CC(=O)O,4.39
Cc1oncc1C(=O)O,3.98
SCc1ccc(Cl)cc1,9.93
COc1ccc(CS)cc1,9.93
Cc1cc(O)ccc1Cl,9.08
CC(C)(N)C(=O)O,2.58
CCOP(O)(=S)OCC,2.86
O=C(O)c1conc1O,3.82
CC(=O)CCC(=O)O,4.32
C=C(CCO)C(=O)O,4.37
Oc1cccc2scnc12,8.16
CC(=O)Nc1nncs1,6.93
CC(C)(O)C(=O)O,3.95
Cc1c(O)ccoc1=O,7.61
On1nnc2ccccc21,6.89
O=C(O)C(Br)CBr,2.24
Cc1ncsc1C(=O)O,3.05
S=C(S)N1CCNCC1,1.9
Sc1nc2ncccc2o1,6.98
OCC(O)CN1CCCC1,14
COc1cccc(O)c1O,9.56
C#CCOCCCC(=O)O,4.3
Nc1csnc1C(=O)O,3.78
CC(CCC(=O)O)NO,4.21
Cc1occc(=S)c1O,11.2
Cn1cccc(O)c1=S,11.39
Sc1nnc2ccccn12,7.54
Sc1nnc2n1CCCN2,7.72
O=CNc1ncn[nH]1,7.85
CCC(C)CCC(=O)O,5.15
CCCCC(C)C(=O)O,5.1
O=C1OC(O)C=C1O,8.39
NCCc1nc[nH]c1I,12.48
CC1=C(O)CCC1=O,8.72
O/N=C1/CCCCCN1,12.1
CCCCCCC(C)(C)S,9.99
Oc1ncnc2ccsc12,11.61
Cc1ncnc(O)c1Br,10.69
Sc1ncc2cnccn12,7.45
NCCCc1nnn[nH]1,5.07
O=C1CC(SCCO)N1,11.8
Cc1nnc(S)[nH]1,7.53
O=C(O)/C=C/CCO,4.43
[O-][S+]1CSCS1,7.85
S=C1CNC(=S)CN1,11.06
Cc1cnc[nH]c1=O,8.4
O=C1OCC/C1=N/O,11.37
CCSCC(N)C(=O)O,2.54
N#CCc1nnc(N)o1,11.29
O/N=N/c1cnccn1,9.69
CC(N)/C(N)=N/O,11.12
NCCCC(N)C(=O)O,2.67
NCc1cccc(O)c1O,8.36
O=C(O)CNC(=S)S,2.01
S=C(S)Nc1nccs1,0.75
Cn1c(Cl)cnc1CO,13.94
CSCCC(O)C(=O)O,4.03
O=S1(=O)CCNCN1,11.52
O=C(O)C1CCSCN1,1.81
COC1=CC(=O)NC1,9.11
Nc1cc(CO)ccc1O,10.28
CC(=O)OCC(=O)O,3.45
Oc1cccc2c1CCN2,10
C=CCOc1ccccc1O,9.95
CCCCOc1ccccc1O,9.96
CCC/C=C/C(=O)O,4.93
CCC/C=C\C(=O)O,4.93
CC(O)N1CCCCC1C,13.91
Cn1nccc1C(=O)O,3.28
NCc1cnn(O)c1Cl,7.09
NCc1cnn(O)c1Br,7.3
CCc1nn(O)cc1CN,9.27
On1ncc2c1CCNC2,8.89
Oc1cccc(O)c1Cl,7.82
CCc1ccc(O)cc1O,9.57
Nc1cc(O)ccc1Cl,9.23
N=C(NCCS)NCCCN,9.86
N=C(NCCS)NCCCO,9.79
Oc1ccc[nH]c1=S,10.27
NC(=S)c1cnccn1,11.39
NC(=S)c1ccncc1,11.78
CN(C)CCOC(=S)S,1.07
NNC(=O)C1CCCO1,12.38
NNC(=O)c1cccs1,13.58
CC(=O)NNC(C)=O,10.83
CNCCOP(=O)(O)O,1.52
NCc1c(O)cccc1O,8.08
CC(C)CCCC(=O)O,5.15
O=C(O)Cn1cnnn1,2.89
COc1cc(C)ccc1O,10.34
CC(=NO)C(C)=NO,8.89
CCCCOC(=O)CC#N,8.98
COCCOC(=O)CC#N,8.98
NC(=O)NNC(N)=O,9.72
Cc1cc(O)cnc1Cl,8.42
Cc1cccc(O)c1Cl,8.1
CCSCC(O)C(=O)O,4.01
CCc1c(O)cccc1O,9.63
O=C1CONC(=O)N1,9.85
O=C1NOCC(=S)N1,9.21
NC1=NC(=O)NOC1,7.93
CCCCCCSC(=S)NN,8.27
